Epoch: 149 | lr:0.0001000 | Loss: 0.0094 | topview Loss: 0.0248 | transform_topview Loss: 0.0493 | transform Loss: 0.8928
Epoch: 150 | lr:0.0001000 | Loss: 0.0096 | topview Loss: 0.0256 | transform_topview Loss: 0.0505 | transform Loss: 0.8928
Epoch: 150 | Validation: mIOU: 59.79 % mAP: 60.19 %
Epoch: 151 | lr:0.0001000 | Loss: 0.0100 | topview Loss: 0.0255 | transform_topview Loss: 0.0537 | transform Loss: 0.8928
Epoch: 152 | lr:0.0001000 | Loss: 0.0097 | topview Loss: 0.0260 | transform_topview Loss: 0.0504 | transform Loss: 0.8928
Epoch: 153 | lr:0.0001000 | Loss: 0.0097 | topview Loss: 0.0264 | transform_topview Loss: 0.0501 | transform Loss: 0.8928
Epoch: 154 | lr:0.0001000 | Loss: 0.0095 | topview Loss: 0.0282 | transform_topview Loss: 0.0465 | transform Loss: 0.8928
Epoch: 155 | lr:0.0001000 | Loss: 0.0090 | topview Loss: 0.0255 | transform_topview Loss: 0.0453 | transform Loss: 0.8928
Epoch: 155 | Validation: mIOU: 67.71 % mAP: 68.69 %
Epoch: 156 | lr:0.0001000 | Loss: 0.0094 | topview Loss: 0.0253 | transform_topview Loss: 0.0492 | transform Loss: 0.8928
Epoch: 157 | lr:0.0001000 | Loss: 0.0093 | topview Loss: 0.0270 | transform_topview Loss: 0.0468 | transform Loss: 0.8928
Epoch: 158 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0256 | transform_topview Loss: 0.0470 | transform Loss: 0.8928
Epoch: 159 | lr:0.0001000 | Loss: 0.0089 | topview Loss: 0.0268 | transform_topview Loss: 0.0434 | transform Loss: 0.8928
Epoch: 160 | lr:0.0001000 | Loss: 0.0091 | topview Loss: 0.0266 | transform_topview Loss: 0.0451 | transform Loss: 0.8928
Epoch: 160 | Validation: mIOU: 58.53 % mAP: 59.15 %
Epoch: 161 | lr:0.0001000 | Loss: 0.0094 | topview Loss: 0.0266 | transform_topview Loss: 0.0473 | transform Loss: 0.8928
Epoch: 162 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0258 | transform_topview Loss: 0.0467 | transform Loss: 0.8928
Epoch: 163 | lr:0.0001000 | Loss: 0.0091 | topview Loss: 0.0243 | transform_topview Loss: 0.0475 | transform Loss: 0.8928
Epoch: 164 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0261 | transform_topview Loss: 0.0463 | transform Loss: 0.8928
Epoch: 165 | lr:0.0001000 | Loss: 0.0091 | topview Loss: 0.0246 | transform_topview Loss: 0.0476 | transform Loss: 0.8928
Epoch: 165 | Validation: mIOU: 63.21 % mAP: 63.66 %
Epoch: 166 | lr:0.0001000 | Loss: 0.0089 | topview Loss: 0.0238 | transform_topview Loss: 0.0465 | transform Loss: 0.8928
Epoch: 167 | lr:0.0001000 | Loss: 0.0097 | topview Loss: 0.0278 | transform_topview Loss: 0.0488 | transform Loss: 0.8928
Epoch: 168 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0269 | transform_topview Loss: 0.0458 | transform Loss: 0.8928
Epoch: 169 | lr:0.0001000 | Loss: 0.0088 | topview Loss: 0.0250 | transform_topview Loss: 0.0447 | transform Loss: 0.8928
Epoch: 170 | lr:0.0001000 | Loss: 0.0083 | topview Loss: 0.0224 | transform_topview Loss: 0.0433 | transform Loss: 0.8928
Epoch: 170 | Validation: mIOU: 68.25 % mAP: 68.69 %
Epoch: 171 | lr:0.0001000 | Loss: 0.0087 | topview Loss: 0.0218 | transform_topview Loss: 0.0467 | transform Loss: 0.8928
Epoch: 172 | lr:0.0001000 | Loss: 0.0088 | topview Loss: 0.0239 | transform_topview Loss: 0.0458 | transform Loss: 0.8928
Epoch: 173 | lr:0.0001000 | Loss: 0.0089 | topview Loss: 0.0244 | transform_topview Loss: 0.0456 | transform Loss: 0.8928
Epoch: 174 | lr:0.0001000 | Loss: 0.0083 | topview Loss: 0.0215 | transform_topview Loss: 0.0441 | transform Loss: 0.8928
Epoch: 175 | lr:0.0001000 | Loss: 0.0088 | topview Loss: 0.0246 | transform_topview Loss: 0.0448 | transform Loss: 0.8928
Epoch: 175 | Validation: mIOU: 69.22 % mAP: 69.99 %
Epoch: 176 | lr:0.0001000 | Loss: 0.0089 | topview Loss: 0.0250 | transform_topview Loss: 0.0456 | transform Loss: 0.8928
Epoch: 177 | lr:0.0001000 | Loss: 0.0086 | topview Loss: 0.0238 | transform_topview Loss: 0.0442 | transform Loss: 0.8928
Epoch: 178 | lr:0.0001000 | Loss: 0.0085 | topview Loss: 0.0225 | transform_topview Loss: 0.0446 | transform Loss: 0.8928
Epoch: 179 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0263 | transform_topview Loss: 0.0467 | transform Loss: 0.8928
Epoch: 180 | lr:0.0001000 | Loss: 0.0085 | topview Loss: 0.0238 | transform_topview Loss: 0.0433 | transform Loss: 0.8928
Epoch: 180 | Validation: mIOU: 67.87 % mAP: 68.55 %
Epoch: 181 | lr:0.0001000 | Loss: 0.0088 | topview Loss: 0.0224 | transform_topview Loss: 0.0474 | transform Loss: 0.8928
Epoch: 182 | lr:0.0001000 | Loss: 0.0078 | topview Loss: 0.0224 | transform_topview Loss: 0.0395 | transform Loss: 0.8928
Epoch: 183 | lr:0.0001000 | Loss: 0.0076 | topview Loss: 0.0211 | transform_topview Loss: 0.0390 | transform Loss: 0.8928
Epoch: 184 | lr:0.0001000 | Loss: 0.0077 | topview Loss: 0.0211 | transform_topview Loss: 0.0400 | transform Loss: 0.8928
Epoch: 185 | lr:0.0001000 | Loss: 0.0095 | topview Loss: 0.0238 | transform_topview Loss: 0.0510 | transform Loss: 0.8928
Epoch: 185 | Validation: mIOU: 68.08 % mAP: 68.82 %
Epoch: 186 | lr:0.0001000 | Loss: 0.0092 | topview Loss: 0.0270 | transform_topview Loss: 0.0455 | transform Loss: 0.8928
Epoch: 187 | lr:0.0001000 | Loss: 0.0080 | topview Loss: 0.0232 | transform_topview Loss: 0.0402 | transform Loss: 0.8928
Epoch: 188 | lr:0.0001000 | Loss: 0.0081 | topview Loss: 0.0223 | transform_topview Loss: 0.0413 | transform Loss: 0.8928
Epoch: 189 | lr:0.0001000 | Loss: 0.0086 | topview Loss: 0.0212 | transform_topview Loss: 0.0469 | transform Loss: 0.8928
Epoch: 190 | lr:0.0001000 | Loss: 0.0081 | topview Loss: 0.0208 | transform_topview Loss: 0.0435 | transform Loss: 0.8928
Epoch: 190 | Validation: mIOU: 70.02 % mAP: 70.51 %
Epoch: 191 | lr:0.0001000 | Loss: 0.0078 | topview Loss: 0.0208 | transform_topview Loss: 0.0410 | transform Loss: 0.8928
Epoch: 192 | lr:0.0001000 | Loss: 0.0076 | topview Loss: 0.0205 | transform_topview Loss: 0.0393 | transform Loss: 0.8928
Epoch: 193 | lr:0.0001000 | Loss: 0.0082 | topview Loss: 0.0211 | transform_topview Loss: 0.0437 | transform Loss: 0.8928
Epoch: 194 | lr:0.0001000 | Loss: 0.0078 | topview Loss: 0.0199 | transform_topview Loss: 0.0415 | transform Loss: 0.8928
Epoch: 195 | lr:0.0001000 | Loss: 0.0079 | topview Loss: 0.0211 | transform_topview Loss: 0.0415 | transform Loss: 0.8928
Epoch: 195 | Validation: mIOU: 68.45 % mAP: 68.80 %
Epoch: 196 | lr:0.0001000 | Loss: 0.0079 | topview Loss: 0.0214 | transform_topview Loss: 0.0412 | transform Loss: 0.8928
Epoch: 197 | lr:0.0001000 | Loss: 0.0077 | topview Loss: 0.0195 | transform_topview Loss: 0.0413 | transform Loss: 0.8928
Epoch: 198 | lr:0.0001000 | Loss: 0.0078 | topview Loss: 0.0196 | transform_topview Loss: 0.0419 | transform Loss: 0.8928
Epoch: 199 | lr:0.0001000 | Loss: 0.0083 | topview Loss: 0.0241 | transform_topview Loss: 0.0416 | transform Loss: 0.8928
Epoch: 200 | lr:0.0000100 | Loss: 0.0070 | topview Loss: 0.0189 | transform_topview Loss: 0.0364 | transform Loss: 0.8928
Epoch: 200 | Validation: mIOU: 70.35 % mAP: 70.89 %
Epoch: 201 | lr:0.0000100 | Loss: 0.0057 | topview Loss: 0.0156 | transform_topview Loss: 0.0291 | transform Loss: 0.8928
Epoch: 202 | lr:0.0000100 | Loss: 0.0051 | topview Loss: 0.0141 | transform_topview Loss: 0.0260 | transform Loss: 0.8928
Epoch: 203 | lr:0.0000100 | Loss: 0.0047 | topview Loss: 0.0131 | transform_topview Loss: 0.0236 | transform Loss: 0.8928
Epoch: 204 | lr:0.0000100 | Loss: 0.0044 | topview Loss: 0.0122 | transform_topview Loss: 0.0219 | transform Loss: 0.8928
Epoch: 205 | lr:0.0000100 | Loss: 0.0043 | topview Loss: 0.0114 | transform_topview Loss: 0.0218 | transform Loss: 0.8928
Epoch: 205 | Validation: mIOU: 76.47 % mAP: 77.21 %
Epoch: 206 | lr:0.0000100 | Loss: 0.0039 | topview Loss: 0.0110 | transform_topview Loss: 0.0196 | transform Loss: 0.8928
Epoch: 207 | lr:0.0000100 | Loss: 0.0038 | topview Loss: 0.0106 | transform_topview Loss: 0.0191 | transform Loss: 0.8928
Epoch: 208 | lr:0.0000100 | Loss: 0.0036 | topview Loss: 0.0102 | transform_topview Loss: 0.0180 | transform Loss: 0.8928
Epoch: 209 | lr:0.0000100 | Loss: 0.0035 | topview Loss: 0.0097 | transform_topview Loss: 0.0176 | transform Loss: 0.8928
Epoch: 210 | lr:0.0000100 | Loss: 0.0035 | topview Loss: 0.0092 | transform_topview Loss: 0.0178 | transform Loss: 0.8928
Epoch: 210 | Validation: mIOU: 79.48 % mAP: 80.22 %
Epoch: 211 | lr:0.0000100 | Loss: 0.0034 | topview Loss: 0.0091 | transform_topview Loss: 0.0170 | transform Loss: 0.8928
Epoch: 212 | lr:0.0000100 | Loss: 0.0033 | topview Loss: 0.0090 | transform_topview Loss: 0.0162 | transform Loss: 0.8928
Epoch: 213 | lr:0.0000100 | Loss: 0.0033 | topview Loss: 0.0087 | transform_topview Loss: 0.0168 | transform Loss: 0.8928
Epoch: 214 | lr:0.0000100 | Loss: 0.0031 | topview Loss: 0.0082 | transform_topview Loss: 0.0154 | transform Loss: 0.8928
Epoch: 215 | lr:0.0000100 | Loss: 0.0032 | topview Loss: 0.0082 | transform_topview Loss: 0.0165 | transform Loss: 0.8928
Epoch: 215 | Validation: mIOU: 81.07 % mAP: 81.93 %
Epoch: 216 | lr:0.0000100 | Loss: 0.0029 | topview Loss: 0.0079 | transform_topview Loss: 0.0148 | transform Loss: 0.8928
Epoch: 217 | lr:0.0000100 | Loss: 0.0030 | topview Loss: 0.0079 | transform_topview Loss: 0.0154 | transform Loss: 0.8928
Epoch: 218 | lr:0.0000100 | Loss: 0.0029 | topview Loss: 0.0076 | transform_topview Loss: 0.0151 | transform Loss: 0.8928
Epoch: 219 | lr:0.0000100 | Loss: 0.0028 | topview Loss: 0.0074 | transform_topview Loss: 0.0143 | transform Loss: 0.8928
Epoch: 220 | lr:0.0000100 | Loss: 0.0028 | topview Loss: 0.0072 | transform_topview Loss: 0.0144 | transform Loss: 0.8928
Epoch: 220 | Validation: mIOU: 82.23 % mAP: 83.24 %
Epoch: 221 | lr:0.0000100 | Loss: 0.0028 | topview Loss: 0.0072 | transform_topview Loss: 0.0142 | transform Loss: 0.8928
Epoch: 222 | lr:0.0000100 | Loss: 0.0028 | topview Loss: 0.0071 | transform_topview Loss: 0.0142 | transform Loss: 0.8928
Epoch: 223 | lr:0.0000100 | Loss: 0.0028 | topview Loss: 0.0070 | transform_topview Loss: 0.0142 | transform Loss: 0.8928
Epoch: 224 | lr:0.0000100 | Loss: 0.0027 | topview Loss: 0.0069 | transform_topview Loss: 0.0135 | transform Loss: 0.8928
Epoch: 225 | lr:0.0000100 | Loss: 0.0027 | topview Loss: 0.0067 | transform_topview Loss: 0.0138 | transform Loss: 0.8928
Epoch: 225 | Validation: mIOU: 82.66 % mAP: 83.70 %
Epoch: 226 | lr:0.0000100 | Loss: 0.0026 | topview Loss: 0.0066 | transform_topview Loss: 0.0130 | transform Loss: 0.8928
Epoch: 227 | lr:0.0000100 | Loss: 0.0024 | topview Loss: 0.0065 | transform_topview Loss: 0.0122 | transform Loss: 0.8928
